Date,Ticker,Open,High,Low,Close,Volume,ArticleCount,Tone,Polarity,WordCount,ArticleCount_lag1,ArticleCount_lag7,ArticleCount_lag30,Tone_lag1,Tone_lag7,Tone_lag30,Polarity_lag1,Polarity_lag7,Polarity_lag30,WordCount_lag1,WordCount_lag7,WordCount_lag30,Volume_lag1,Volume_lag7,Volume_lag30,Close_lag1,Close_lag7,Close_lag30,ArticleCount_mean_30d,ArticleCount_std_30d,ArticleCount_spike,Tone_mean_30d,Tone_std_30d,Tone_spike,Polarity_mean_30d,Polarity_std_30d,Polarity_spike,WordCount_mean_30d,WordCount_std_30d,WordCount_spike,Volume_mean_30d,Volume_std_30d,Volume_spike,Close_mean_30d,Close_std_30d,Close_spike,day_of_week,month,quarter,year,is_month_end,is_quarter_end
2015-01-02,AMSC,7.5,8.199999809265137,7.400000095367432,8.199999809265137,54140.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,54140.0,,,8.199999809265137,,,4,1,1,2015,0,0
2015-01-02,BP,20.000239453942747,20.083988088789923,19.748993549401213,19.9531307220459,16126000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,16126000.0,,,19.9531307220459,,,4,1,1,2015,0,0
2015-01-02,EVR,41.62816440706956,41.93564469012885,40.82398358577006,41.38375854492188,341700.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,341700.0,,,41.38375854492188,,,4,1,1,2015,0,0
2015-01-02,GOOGL,26.447588609294957,26.606494381733423,26.21320510487405,26.29613494873047,41182000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,41182000.0,,,26.29613494873047,,,4,1,1,2015,0,0
2015-01-02,HLF,18.915000915527344,19.09000015258789,18.549999237060547,18.790000915527344,7964600.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,7964600.0,,,18.790000915527344,,,4,1,1,2015,0,0
2015-01-02,MDRX,12.8100004196167,12.960000038146973,12.75,12.850000381469728,2158400.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,2158400.0,,,12.850000381469728,,,4,1,1,2015,0,0
2015-01-02,ORCL,38.1680782540383,38.31220316184312,37.27788605858496,37.58309555053711,18369400.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,18369400.0,,,37.58309555053711,,,4,1,1,2015,0,0
2015-01-02,WFC,40.46073946654048,40.51947252518373,39.78529108772353,40.15972518920898,15000500.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,15000500.0,,,40.15972518920898,,,4,1,1,2015,0,0
2015-01-05,AMSC,7.900000095367432,8.199999809265137,7.599999904632568,7.900000095367432,77570.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,54140.0,,,8.199999809265137,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65855.0,16567.51188320081,0.7071067811861207,8.049999952316284,0.2121318320510914,-0.707106747853184,0,1,1,2015,0,0
2015-01-05,BP,19.15229250855057,19.188932427249444,18.6498004834867,18.895811080932617,11575800.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,16126000.0,,,19.9531307220459,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13850900.0,3217477.2757550287,-0.7071067811865454,19.424470901489258,0.747637888112928,-0.7071067717286698,0,1,1,2015,0,0
